"activity_id","student_id","date","type","note"
12348,2348,"2010-10-12T06:31:05-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod ea non occurrentia fingunt, vincunt Aristonem; Qui enim voluptatem ipsam contemnunt, iis licet dicere se acupenserem maenae non anteponere. Quibus rebus vita consentiens virtutibusque respondens recta et honesta et constans et naturae congruens existimari potest. Sin autem eos non probabat, quid attinuit cum iis, quibuscum re concinebat, verbis discrepare? Quid in isto egregio tuo officio et tanta fide-sic enim existimo-ad corpus refers? Ergo illi intellegunt quid Epicurus dicat, ego non intellego? Age sane, inquam. In qua quid est boni praeter summam voluptatem, et eam sempiternam? Duo Reges: constructio interrete. Qui enim voluptatem ipsam contemnunt, iis licet dicere se acupenserem maenae non anteponere. His enim rebus detractis negat se reperire in asotorum vita quod reprehendat. Quae quidem sapientes sequuntur duce natura tamquam videntes; Quid iudicant sensus? Maximas vero virtutes iacere omnis necesse est voluptate dominante. </p>"
22348,2348,"2010-04-27T12:57:29-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Et quod est munus, quod opus sapientiae? Si enim sapiens aliquis miser esse possit, ne ego istam gloriosam memorabilemque virtutem non magno aestimandam putem. Cum id quoque, ut cupiebat, audivisset, evelli iussit eam, qua erat transfixus, hastam. Quam ob rem tandem, inquit, non satisfacit? Cum vero paulum processerunt, lusionibus vel laboriosis delectantur, ut ne verberibus quidem deterreri possint, eaque cupiditas agendi aliquid adolescit una cum aetatibus. Minime vero probatur huic disciplinae, de qua loquor, aut iustitiam aut amicitiam propter utilitates adscisci aut probari. Ut nemo dubitet, eorum omnia officia quo spectare, quid sequi, quid fugere debeant? Duo Reges: constructio interrete. Sic, et quidem diligentius saepiusque ista loquemur inter nos agemusque communiter. Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; Modo etiam paulum ad dexteram de via declinavi, ut ad Pericli sepulcrum accederem. In eo enim positum est id, quod dicimus esse expetendum. Facete M. Cui Tubuli nomen odio non est? </p>"
32348,2348,"2010-06-04T21:10:21-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Deinde disputat, quod cuiusque generis animantium statui deceat extremum. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Beatus autem esse in maximarum rerum timore nemo potest. Quod si ita se habeat, non possit beatam praestare vitam sapientia. Cur igitur, inquam, res tam dissimiles eodem nomine appellas? Cur fortior sit, si illud, quod tute concedis, asperum et vix ferendum putabit? Is hoc melior, quam Pyrrho, quod aliquod genus appetendi dedit, deterior quam ceteri, quod penitus a natura recessit. Duo Reges: constructio interrete. Sed quanta sit alias, nunc tantum possitne esse tanta. Atque ego: Scis me, inquam, istud idem sentire, Piso, sed a te opportune facta mentio est. Ne tum quidem te respicies et cogitabis sibi quemque natum esse et suis voluptatibus? Possumusne ergo in vita summum bonum dicere, cum id ne in cena quidem posse videamur? Contemnit enim disserendi elegantiam, confuse loquitur. Nos autem non solum beatae vitae istam esse oblectationem videmus, sed etiam levamentum miseriarum. Quamquam id quidem, infinitum est in hac urbe; </p>"
42348,2348,"2011-01-06T07:15:46-08:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Iis igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. Non est ista, inquam, Piso, magna dissensio. Ut necesse sit omnium rerum, quae natura vigeant, similem esse finem, non eundem. Duo Reges: constructio interrete. Praetereo multos, in bis doctum hominem et suavem, Hieronymum, quem iam cur Peripateticum appellem nescio. Crasso, quem semel ait in vita risisse Lucilius, non contigit, ut ea re minus agelastoj ut ait idem, vocaretur. Me ipsum esse dicerem, inquam, nisi mihi viderer habere bene cognitam voluptatem et satis firme conceptam animo atque comprehensam. Nobis Heracleotes ille Dionysius flagitiose descivisse videtur a Stoicis propter oculorum dolorem. Venit enim mihi Platonis in mentem, quem accepimus primum hic disputare solitum; </p>"
52348,2348,"2011-08-14T06:36:45-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Est autem situm in nobis ut et adversa quasi perpetua oblivione obruamus et secunda iucunde ac suaviter meminerimus. Num igitur utiliorem tibi hunc Triarium putas esse posse, quam si tua sint Puteolis granaria? Nec vero alia sunt quaerenda contra Carneadeam illam sententiam. Tum Lucius: Mihi vero ista valde probata sunt, quod item fratri puto. Nos quidem Virtutes sic natae sumus, ut tibi serviremus, aliud negotii nihil habemus. Duo Reges: constructio interrete. Si stante, hoc natura videlicet vult, salvam esse se, quod concedimus; </p>"
67625,7625,"2011-05-22T23:58:33-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quaero igitur, quo modo hae tantae commendationes a natura profectae subito a sapientia relictae sint. Primum in nostrane potestate est, quid meminerimus? Tum ego: Non mehercule, inquam, soleo temere contra Stoicos, non quo illis admodum assentiar, sed pudore impedior; Duo Reges: constructio interrete. Et adhuc quidem ita nobis progresso ratio est, ut ea duceretur omnis a prima commendatione naturae. Si ista mala sunt, in quae potest incidere sapiens, sapientem esse non esse ad beate vivendum satis. Cur igitur easdem res, inquam, Peripateticis dicentibus verbum nullum est, quod non intellegatur? Duo enim genera quae erant, fecit tria. Et tamen tantis vectigalibus ad liberalitatem utens etiam sine hac Pyladea amicitia multorum te benivolentia praeclare tuebere et munies. Nunc haec primum fortasse audientis servire debemus. Nam de isto magna dissensio est. E quo efficitur, non ut nos non intellegamus quae vis sit istius verbi, sed ut ille suo more loquatur, nostrum neglegat. </p>"
77625,7625,"2011-10-19T13:08:19-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ac tamen, ne cui loco non videatur esse responsum, pauca etiam nunc dicam ad reliquam orationem tuam. Quarum cum una sit, qua mores conformari putantur, differo eam partem, quae quasi stirps ets huius quaestionis. Potius inflammat, ut coercendi magis quam dedocendi esse videantur. Mihi, inquam, qui te id ipsum rogavi? Sed plane dicit quod intellegit. Verba tu fingas et ea dicas, quae non sentias? Quid, cum volumus nomina eorum, qui quid gesserint, nota nobis esse, parentes, patriam, multa praeterea minime necessaria? Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in maiorem. Nam et complectitur verbis, quod vult, et dicit plane, quod intellegam; Duo Reges: constructio interrete. Idemque diviserunt naturam hominis in animum et corpus. Quae cum dixissem, Habeo, inquit Torquatus, ad quos ista referam, et, quamquam aliquid ipse poteram, tamen invenire malo paratiores. Eam stabilem appellas. Summae mihi videtur inscitiae. </p>"
87625,7625,"2010-03-14T01:23:02-08:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. At miser, si in flagitiosa et vitiosa vita afflueret voluptatibus. Ergo adhuc, quantum equidem intellego, causa non videtur fuisse mutandi nominis. Quae cum magnifice primo dici viderentur, considerata minus probabantur. Quod cum ille dixisset et satis disputatum videretur, in oppidum ad Pomponium perreximus omnes. Si enim sapiens aliquis miser esse possit, ne ego istam gloriosam memorabilemque virtutem non magno aestimandam putem. Duo Reges: constructio interrete. Et harum quidem rerum facilis est et expedita distinctio. Verum tamen cum de rebus grandioribus dicas, ipsae res verba rapiunt; </p>"
97625,7625,"2010-06-06T14:05:55-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ex quo illud efficitur, qui bene cenent omnis libenter cenare, qui libenter, non continuo bene. Iis igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. Sed tamen omne, quod de re bona dilucide dicitur, mihi praeclare dici videtur. Cum autem venissemus in Academiae non sine causa nobilitata spatia, solitudo erat ea, quam volueramus. Eiuro, inquit adridens, iniquum, hac quidem de re; Duo Reges: constructio interrete. Sed videbimus. Ex quo, id quod omnes expetunt, beate vivendi ratio inveniri et comparari potest. Illud mihi a te nimium festinanter dictum videtur, sapientis omnis esse semper beatos; Transfer idem ad modestiam vel temperantiam, quae est moderatio cupiditatum rationi oboediens. Simus igitur contenti his. Quoniamque in iis rebus, quae neque in virtutibus sunt neque in vitiis, est tamen quiddam, quod usui possit esse, tollendum id non est. Potius inflammat, ut coercendi magis quam dedocendi esse videantur. </p>"
107625,7625,"2010-06-18T22:53:59-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Tum ego: Non mehercule, inquam, soleo temere contra Stoicos, non quo illis admodum assentiar, sed pudore impedior; Se dicere inter honestum et turpe nimium quantum, nescio quid inmensum, inter ceteras res nihil omnino interesse. Qui si ea, quae dicit, ita sentiret, ut verba significant, quid inter eum et vel Pyrrhonem vel Aristonem interesset? Totum autem id externum est, et quod externum, id in casu est. Si enim ad populum me vocas, eum. Ille igitur vidit, non modo quot fuissent adhuc philosophorum de summo bono, sed quot omnino esse possent sententiae. Duo Reges: constructio interrete. Cave putes quicquam esse verius. Nam Pyrrho, Aristo, Erillus iam diu abiecti. Ista ipsa, quae tu breviter: regem, dictatorem, divitem solum esse sapientem, a te quidem apte ac rotunde; </p>"
