"case_id","student_id","date","type","title","description","author"
12348,2348,"2010-07-19T15:29:08-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Videsne ut, quibus summa est in voluptate, perspicuum sit quid iis faciendum sit aut non faciendum? Me ipsum esse dicerem, inquam, nisi mihi viderer habere bene cognitam voluptatem et satis firme conceptam animo atque comprehensam. Dic in quovis conventu te omnia facere, ne doleas. Tu autem inter haec tantam multitudinem hominum interiectam non vides nec laetantium nec dolentium? Duae sunt enim res quoque, ne tu verba solum putes. Duo Reges: constructio interrete. Hunc igitur finem illi tenuerunt, quodque ego pluribus verbis, illi brevius secundum naturam vivere, hoc iis bonorum videbatur extremum. Quem quidem vos, cum improbis poenam proponitis, inpetibilem facitis, cum sapientem semper boni plus habere vultis, tolerabilem. Deinde disputat, quod cuiusque generis animantium statui deceat extremum. De quibus etsi a Chrysippo maxime est elaboratum, tamen a Zenone minus multo quam ab antiquis; ","advisor2"
22348,2348,"2010-10-29T18:31:22-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Manebit ergo amicitia tam diu, quam diu sequetur utilitas, et, si utilitas amicitiam constituet, tollet eadem. Est autem etiam actio quaedam corporis, quae motus et status naturae congruentis tenet; Itaque haec cum illis est dissensio, cum Peripateticis nulla sane. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Duo Reges: constructio interrete. Sin autem ad animum, falsum est, quod negas animi ullum esse gaudium, quod non referatur ad corpus. Sin kakan malitiam dixisses, ad aliud nos unum certum vitium consuetudo Latina traduceret. Tum Torquatus: Prorsus, inquit, assentior; Non perfecti autem homines et tamen ingeniis excellentibus praediti excitantur saepe gloria, quae habet speciem honestatis et similitudinem. Sed hoc summum bonum, quod tertia significatione intellegitur, eaque vita, quae ex summo bono degitur, quia coniuncta ei virtus est. Negat esse eam, inquit, propter se expetendam. ","advisor2"
37625,7625,"2010-12-08T23:59:30-08:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Simul atque natum animal est, gaudet voluptate et eam appetit ut bonum, aspernatur dolorem ut malum. Ergo id est convenienter naturae vivere, a natura discedere. Quae hic rei publicae vulnera inponebat, eadem ille sanabat. Quis enim confidit semper sibi illud stabile et firmum permansurum, quod fragile et caducum sit? An hoc usque quaque, aliter in vita? Qui ita affectus, beatum esse numquam probabis; Quod enim vituperabile est per se ipsum, id eo ipso vitium nominatum puto, vel etiam a vitio dictum vituperari. Duo Reges: constructio interrete. Cum autem venissemus in Academiae non sine causa nobilitata spatia, solitudo erat ea, quam volueramus. Sed nonne merninisti licere mihi ista probare, quae sunt a te dicta? ","advisor3"
47625,7625,"2011-10-29T10:19:47-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Si enim sapiens aliquis miser esse possit, ne ego istam gloriosam memorabilemque virtutem non magno aestimandam putem. Atque ita re simpliciter primo collocata reliqua subtilius persequentes corporis bona facilem quandam rationem habere censebant; Dic in quovis conventu te omnia facere, ne doleas. An hoc usque quaque, aliter in vita? Quasi vero aut concedatur in omnibus stultis aeque magna esse vitia, et eadem inbecillitate et inconstantia L. Nihil illinc huc pervenit. Duo Reges: constructio interrete. Ex eorum enim scriptis et institutis cum omnis doctrina liberalis, omnis historia. ","advisor2"
58205,8205,"2010-07-12T12:27:51-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Qui convenit? Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Sunt enim quasi prima elementa naturae, quibus ubertas orationis adhiberi vix potest, nec equidem eam cogito consectari. Nam aliquando posse recte fieri dicunt nulla expectata nec quaesita voluptate. Duo Reges: constructio interrete. Cum autem progrediens confirmatur animus, agnoscit ille quidem naturae vim, sed ita, ut progredi possit longius, per se sit tantum inchoata. Similiter sensus, cum accessit ad naturam, tuetur illam quidem, sed etiam se tuetur; Quid, si reviviscant Platonis illi et deinceps qui eorum auditores fuerunt, et tecum ita loquantur? ","advisor4"
68205,8205,"2010-12-01T21:06:28-08:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret? Post enim Chrysippum eum non sane est disputatum. Duo Reges: constructio interrete. Non elogia monimentorum id significant, velut hoc ad portam: Hunc unum plurimae consentiunt gentes populi primarium fuisse virum. Sit hoc ultimum bonorum, quod nunc a me defenditur; Sed est forma eius disciplinae, sicut fere ceterarum, triplex: una pars est naturae, disserendi altera, vivendi tertia. Omnes enim iucundum motum, quo sensus hilaretur. Quodsi, ne quo incommodo afficiare, non relinques amicum, tamen, ne sine fructu alligatus sis, ut moriatur optabis. Ab hoc autem quaedam non melius quam veteres, quaedam omnino relicta. Nec tamen ille erat sapiens quis enim hoc aut quando aut ubi aut unde? Quid censes in Latino fore? Confecta res esset. Quis autem de ipso sapiente aliter existimat, quin, etiam cum decreverit esse moriendum, tamen discessu a suis atque ipsa relinquenda luce moveatur? Potius ergo illa dicantur: turpe esse, viri non esse debilitari dolore, frangi, succumbere. ","advisor1"
76093,6093,"2011-09-29T20:32:38-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Qui convenit? Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Sunt enim quasi prima elementa naturae, quibus ubertas orationis adhiberi vix potest, nec equidem eam cogito consectari. Nam aliquando posse recte fieri dicunt nulla expectata nec quaesita voluptate. Duo Reges: constructio interrete. Cum autem progrediens confirmatur animus, agnoscit ille quidem naturae vim, sed ita, ut progredi possit longius, per se sit tantum inchoata. Similiter sensus, cum accessit ad naturam, tuetur illam quidem, sed etiam se tuetur; Quid, si reviviscant Platonis illi et deinceps qui eorum auditores fuerunt, et tecum ita loquantur? ","advisor2"
86093,6093,"2011-05-13T17:07:35-07:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In eo enim positum est id, quod dicimus esse expetendum. Omnes, qui non sint sapientes, aeque miseros esse, sapientes omnes summe beatos, recte facta omnia aequalia, omnia peccata paria; Quicquid porro animo cernimus, id omne oritur a sensibus; Aperiendum est igitur, quid sit voluptas; Itaque ut quisque optime natus institutusque est, esse omnino nolit in vita, si gerendis negotiis orbatus possit paratissimis vesci voluptatibus. Nam constitui virtus nullo modo potesti nisi ea, quae sunt prima naturae, ut ad summam pertinentia tenebit. Duo Reges: constructio interrete. Positum est a nostris in iis esse rebus, quae secundum naturam essent, non dolere; Easdemne res? Nullis enim partitionibus, nullis definitionibus utuntur ipsique dicunt ea se modo probare, quibus natura tacita adsentiatur. ","advisor1"
97633,7633,"2011-03-11T17:36:26-08:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Tum Piso: Atqui, Cicero, inquit, ista studia, si ad imitandos summos viros spectant, ingeniosorum sunt; Quid enim est a Chrysippo praetermissum in Stoicis? Et quidem illud ipsum non nimium probo et tantum patior, philosophum loqui de cupiditatibus finiendis. Nec enim ignoras his istud honestum non summum modo, sed etiam, ut tu vis, solum bonum videri. Summum ením bonum exposuit vacuitatem doloris; Nullus est igitur cuiusquam dies natalis. An tu me de L. Duo Reges: constructio interrete. Atqui haec patefactio quasi rerum opertarum, cum quid quidque sit aperitur, definitio est. Primum cur ista res digna odio est, nisi quod est turpis? Nec vero intermittunt aut admirationem earum rerum, quae sunt ab antiquis repertae, aut investigationem novarum. Idem adhuc; Ergo ita: non posse honeste vivi, nisi honeste vivatur? Ita graviter et severe voluptatem secrevit a bono. Itaque hic ipse iam pridem est reiectus; Familiares nostros, credo, Sironem dicis et Philodemum, cum optimos viros, tum homines doctissimos. ","advisor3"
107633,7633,"2010-01-21T10:20:43-08:00","simple_case","Demo case","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Si quae forte-possumus. Nummus in Croesi divitiis obscuratur, pars est tamen divitiarum. At multis se probavit. Sed quamvis comis in amicis tuendis fuerit, tamen, si haec vera sunt-nihil enim affirmo-, non satis acutus fuit. Duo Reges: constructio interrete. Quod, inquit, quamquam voluptatibus quibusdam est saepe iucundius, tamen expetitur propter voluptatem. Quae contraria sunt his, malane? Egone non intellego, quid sit don Graece, Latine voluptas? Quid de Platone aut de Democrito loquar? ","advisor4"
