"id","term","subject","number","section","title"
960,"2012 Spring","ENVS",212,3,"Ethics, Science & Env Policy"
2116,"2011 Fall","LS",300,4,"Major ProSeminar"
329,"2011 Fall","CHHS",340,2,"Conflict Res/Collab Negotiatio"
3415,"2012 Spring","SPAN",202,99,"Intermediate Spanish II"
129,"2011 Fall","BIO","242L",2,"Plant & Animal Form & Func Lab"
1994,"2011 Fall","KIN",238,1,"Awaken Healing Energy"
1217,"2012 Spring","FYS",100,99,"First Year Seminar"
460,"2011 Fall","CST",101,5,"Technology Tools"
3722,"2012 Spring","VPA","306S",1,"Digital Public Art"
3413,"2011 Fall","SPAN",201,90,"Intermediate Spanish I"
1980,"2011 Fall","KIN",139,2,"Yoga"
3402,"2012 Spring","SPAN",102,99,"Beginning Spanish II"
2668,"2011 Fall","POL",202,99,"Interm Polish II: ASMT"
3708,"2011 Fall","VPA",210,1,"The Artist & Society"
4146,"2012 Spring","BIO",414,1,"Molecular Cell Biology"
3578,"2011 Fall","TAT",361,1,"Intro to Non-Linear Editing"
207,"2011 Fall","BUS",309,1,"Principles of Operations Mgmt"
529,"2011 Fall","CST","361S",90,"Technology Tutors"
2688,"2012 Spring","PSY",302,2,"PSY/Resear/Methods/Data/Analys"
2041,"2011 Fall","KIN",377,1,"Neurological Impairment"
227,"2011 Fall","BUS",383,1,"Intermediate Accounting I"
343,"2011 Fall","CHHS","400A",1,"Senior Capstone-A"
2171,"2012 Spring","LS",400,2,"Senior Capstone"
4404,"2011 Fall","CHHS",445,1,"Principles of Grantsmanship"
4097,"2011 Fall","LS",384,1,"Issues Comp & Internat Ed"
2046,"2011 Fall","KIN","382L",1,"Wilderness Leadership Lab"
199,"2012 Spring","BUS",299,1,"Excel Spreadsheet"
1452,"2011 Fall","HCOM","350S",1,"Oral Hist/Comm Mem SL"
82,"2011 Fall","ASE",290,10,"Student Exchange"
4086,"2011 Fall","KIN","421L",1,"Essential of Exercise Sci Lab"
1311,"2011 Fall","GS",315,1,"Global Hist: Worlds of Modern"
1911,"2012 Spring","ITAL",201,99,"Intermediate Italian I"
3609,"2012 Spring","TAT",423,1,"Art of Compositing"
1217,"2012 Spring","FYS",100,1,"First Year Seminar"
3700,"2011 Fall","VIET",102,99,"Begin Veitnamese II Assessment"
4056,"2011 Fall","BIO",497,1,"Independent Study"
4019,"2012 Spring","STAT",100,2,"Introduction to Statistics"
2838,"2011 Fall","SBS","366L",1,"Rsrch Mthd SBS:Quan Emph Lab"
3571,"2012 Spring","TAT",341,1,"Directing for the Camera"
206,"2011 Fall","BUS",308,4,"Computer Information Systems"
2015,"2011 Fall","KIN",335,1,"Fundamentals of Coaching"
86,"2012 Spring","ASL",201,1,"Intermediate ASL I"
2854,"2012 Spring","SBS",395,2,"Special Topics"
2807,"2011 Fall","SBS",318,1,"Computing/Skills/Soc/Sciences"
293,"2011 Fall","CHEM",211,53,"Organic Chemistry I"
2687,"2012 Spring","PSY","301L",1,"Adv/Psychological Stat Lab"
997,"2011 Fall","ENVS",300,2,"Read, Writ & Crit Thnk in ENVS"
2028,"2011 Fall","KIN",366,1,"Behavior Change/Sup Grp Strat"
155,"2011 Fall","BIO","379S",1,"Biology Education Serv Learn"
1981,"2012 Spring","KIN",140,1,"Yoga II"
2206,"2012 Spring","MAND",202,99,"Interm Mandarin II ASMT"
3899,"2011 Fall","WRT",95,2,"Integrated Reading Writing"
3356,"2011 Fall","SL","201LS",5,"SL Community Service Hours"
2654,"2011 Fall","PHYS",221,51,"Physics II"
1978,"2011 Fall","KIN",132,1,"Beginning Chen Taijiquan"
