"student_hold_id","student_id","hold_code","date","term"
2348,2348,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
6093,6093,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
7633,7633,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
10408,10408,"DEMO-TB","2012-12-01","2012 Spring"
3887,3887,"DEMO-PAID","2012-12-01","2012 Spring"
8716,8716,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
8429,8429,"DEMO-PAY","2012-12-01","2012 Spring"
6702,6702,"DEMO-PAID","2012-12-01","2012 Spring"
5471,5471,"DEMO-PAY","2012-12-01","2012 Spring"
1974,1974,"DEMO-TB","2012-12-01","2012 Spring"
2836,2836,"DEMO-TB","2012-12-01","2012 Spring"
8114,8114,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
8165,8165,"DEMO-PAID","2012-12-01","2012 Spring"
5982,5982,"DEMO-PAY","2012-12-01","2012 Spring"
4404,4404,"DEMO-PAY","2012-12-01","2012 Spring"
7216,7216,"DEMO-TB","2012-12-01","2012 Spring"
4975,4975,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
7319,7319,"DEMO-TB","2012-12-01","2012 Spring"
9569,9569,"DEMO-TB","2012-12-01","2012 Spring"
3772,3772,"DEMO-PAY","2012-12-01","2012 Spring"
9275,9275,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
10125,10125,"DEMO-PAID","2012-12-01","2012 Spring"
5761,5761,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
1104,1104,"DEMO-PAID","2012-12-01","2012 Spring"
4914,4914,"DEMO-PAY","2012-12-01","2012 Spring"
4841,4841,"DEMO-PAY","2012-12-01","2012 Spring"
2494,2494,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
6831,6831,"DEMO-PAY","2012-12-01","2012 Spring"
6520,6520,"DEMO-TB","2012-12-01","2012 Spring"
3766,3766,"DEMO-PAID","2012-12-01","2012 Spring"
4132,4132,"DEMO-PAID","2012-12-01","2012 Spring"
501,501,"DEMO-PAID","2012-12-01","2012 Spring"
6575,6575,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
9338,9338,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
5315,5315,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
1935,1935,"DEMO-PAY","2012-12-01","2012 Spring"
3305,3305,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
66,66,"DEMO-PAID","2012-12-01","2012 Spring"
872,872,"DEMO-PAID","2012-12-01","2012 Spring"
727,727,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
5410,5410,"DEMO-PAY","2012-12-01","2012 Spring"
3451,3451,"DEMO-TB","2012-12-01","2012 Spring"
4853,4853,"DEMO-TB","2012-12-01","2012 Spring"
5784,5784,"DEMO-PAY","2012-12-01","2012 Spring"
3493,3493,"DEMO-SCHOLARSHIP","2012-12-01","2012 Spring"
